Transaction 1, Latency: 0.117405s
Transaction 2, Latency: 0.1143516s
Transaction 3, Latency: 0.1413755s
Transaction 4, Latency: 0.1865171s
Transaction 5, Latency: 0.132204s
Transaction 6, Latency: 0.1798641s
Transaction 7, Latency: 0.1277342s
Transaction 8, Latency: 0.1869537s
Transaction 9, Latency: 0.1298723s
Transaction 10, Latency: 0.1322128s
Transaction 11, Latency: 0.1266644s
Transaction 12, Latency: 0.1269063s
Transaction 13, Latency: 0.1921729s
Transaction 14, Latency: 0.1229021s
Transaction 15, Latency: 0.1764418s
Transaction 16, Latency: 0.1177887s
Transaction 17, Latency: 0.0942055s
Transaction 18, Latency: 0.1171679s
Transaction 19, Latency: 0.1168371s
Transaction 20, Latency: 0.114083s
Transaction 21, Latency: 0.131664s
Transaction 22, Latency: 0.1242943s
Transaction 23, Latency: 0.1326238s
Transaction 24, Latency: 0.1241239s
Transaction 25, Latency: 0.1326348s
Transaction 26, Latency: 0.1298309s
Transaction 27, Latency: 0.1702365s
Transaction 28, Latency: 0.1213663s
Transaction 29, Latency: 0.1720719s
Transaction 30, Latency: 0.1210999s
Transaction 31, Latency: 0.1206638s
Transaction 32, Latency: 0.1331906s
Transaction 33, Latency: 0.128147s
Transaction 34, Latency: 0.1312828s
Transaction 35, Latency: 0.1310727s
Transaction 36, Latency: 0.123327s
Transaction 37, Latency: 0.1168527s
Transaction 38, Latency: 0.1333305s
Transaction 39, Latency: 0.1291249s
Transaction 40, Latency: 0.1213966s
Transaction 41, Latency: 0.1293012s
Transaction 42, Latency: 0.1282157s
Transaction 43, Latency: 0.1307441s
Transaction 44, Latency: 0.1275509s
Transaction 45, Latency: 0.1134271s
Transaction 46, Latency: 0.1161598s
Transaction 47, Latency: 0.1133289s
Transaction 48, Latency: 0.116583s
Transaction 49, Latency: 0.1156586s
Transaction 50, Latency: 0.1279891s
Transaction 51, Latency: 0.1194418s
Transaction 52, Latency: 0.1134468s
Transaction 53, Latency: 0.1221221s
Transaction 54, Latency: 0.1182061s
Transaction 55, Latency: 0.1199915s
Transaction 56, Latency: 0.1284746s
Transaction 57, Latency: 0.1260137s
Transaction 58, Latency: 0.1249599s
Transaction 59, Latency: 0.1204668s
Transaction 60, Latency: 0.1296142s
Transaction 61, Latency: 0.1159565s
Transaction 62, Latency: 0.1190196s
Transaction 63, Latency: 0.1235516s
Transaction 64, Latency: 0.1194586s
Transaction 65, Latency: 0.0944896s
Transaction 66, Latency: 0.1160891s
Transaction 67, Latency: 0.1322771s
Transaction 68, Latency: 0.1140531s
Transaction 69, Latency: 0.117397s
Transaction 70, Latency: 0.1174842s
Transaction 71, Latency: 0.1188555s
Transaction 72, Latency: 0.0995473s
Transaction 73, Latency: 0.1170146s
Transaction 74, Latency: 0.1136166s
Transaction 75, Latency: 0.1241186s
Transaction 76, Latency: 0.1185194s
Transaction 77, Latency: 0.1194922s
Transaction 78, Latency: 0.1175794s
Transaction 79, Latency: 0.1108582s
Transaction 80, Latency: 0.1049148s
